labeler_did,handle,display_name,labeler_class,maturity_class,active_recently,declares_scope,explains_labels,user_visible_consequence_known,has_stable_service_record,label_count_30d,label_count_7d,distinct_targets_30d,latest_label_def_count,service_record_revisions,first_record_at,last_record_at,last_seen,regime_state,endpoint_status,visibility_class,auditability,likely_test_dev,is_reference
did:plc:dm6tjhimvcxsgh2yxbppbqkx,eras.bsky.sh,Taylor Swift Eras Labels,third_party,unknown,True,False,False,False,False,17,6,8,0,0,,,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:am3r5ugi44s26fwouvel7mrz,moderation.wsocial.eu,W Social Moderation Service,third_party,personal/reputational,True,True,True,True,True,17,13,16,5,3,2026-06-02T12:37:12.906872Z,2026-06-02T12:54:47.935471Z,2026-06-08T09:32:45.006595Z,warming_up,accessible,declared,high,False,False
did:plc:jwqm25l6zbkgmorz3k35hf32,curationkeeper.bsky.social,CurationKeeper,third_party,personal/reputational,True,True,True,True,False,15,1,2,8,18,2026-04-09T14:46:08.196476Z,2026-06-08T04:44:19.415429Z,2026-06-08T04:44:19.415429Z,stable,unknown,declared,medium,False,False
did:plc:erl76ixakiifywkveug2fzkh,jerrified.bsky.social,jerrified labeler,third_party,personal/reputational,True,True,True,True,True,15,4,15,3,2,2026-04-27T22:24:31.494850Z,2026-04-27T22:26:42.770495Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:iqnugdr4iua6r5psdmx2ufas,discourse.manos.lol,,third_party,personal/reputational,True,True,True,True,True,12,12,12,2,5,2026-05-26T02:21:21.411737Z,2026-06-05T04:07:11.698038Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:roiub6lpsvidb6eb62t6unao,trustline.moddy.app,Moddy Trustline,third_party,personal/reputational,True,True,True,True,True,10,0,5,53,5,2026-04-07T18:08:04.643244Z,2026-04-07T19:51:37.899765Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:owlalsqd2qu64kv3h7klt24t,gameengines.bsky.social,Game Engine Labeller,third_party,experimental,True,True,True,True,True,9,0,5,50,3,2026-03-26T21:02:04.161521Z,2026-04-03T06:33:53.205433Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:ubt73xes4uesthuuhbqwf37d,kickflip.renahlee.com,kickflip,third_party,experimental,True,False,False,False,False,6,0,6,0,0,,,2026-06-08T04:38:26.089506Z,degraded,down,declared,medium,False,False
did:plc:rbctlz4hezljrjjgqjhm7svp,bias.is,K-Pop Biases Labeler,third_party,experimental,True,True,True,True,True,5,0,1,85,3,2026-03-22T04:01:04.215769Z,2026-05-26T05:54:25.138806Z,2026-06-08T04:38:26.089506Z,stable,down,declared,medium,False,False
did:plc:q2xsp2z6li7wlzet4ova2edb,shadowbanner.bsky.social,The Shadowbanner,third_party,experimental,True,True,True,True,True,5,0,1,35,1,2026-04-02T16:06:06.333817Z,2026-04-02T16:06:06.333817Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
